news_id,news_title,review_title,rating,num_satisfactory
story_reviews_00000,Virtual reality to help detect early risk of Alzheimer’s,Guardian jumps to conclusions about an Alzheimer’s study that hasn’t even begun,1,1
story_reviews_00001,Evofem's birth control gel meets main study goal; shares rise,"In story on experimental contraceptive gel, Reuters lets drug company control the narrative",3,6
story_reviews_00002,How a breakthrough new fertility test is offering hope for families who have suffered miscarriages,"Using a single patient anecdote, ABC News hails DNA fertility test as ‘breakthrough’",2,3
story_reviews_00003,J&J says its psoriasis drug superior to Novartis' in study,Hard to find the journalism in this brief Reuters story on clinical trial results for psoriasis drug,2,3
story_reviews_00004, Incontinence Drug May Cut Hot Flashes in Breast Cancer Survivors,A little more context would have boosted already-strong HealthDay story on drug for hot flashes,5,9
story_reviews_00005,"Before Starting A Statin, Talk It Over With Your Doctor",Props to NPR for highlighting the need for balanced decision-making around statins,4,7
story_reviews_00006,Nerve Zap Might Ease Pain of Herniated Disk,Independent source injects caution into a HeathDay story on ‘nerve zap’ for back pain,3,6
story_reviews_00007,CURE FOR CANCER? FDA ANNOUNCES NEW AGGRESSIVE DRUG ATTACKING ORIGINATING GENES,"Newsweek trumpets an ‘aggressive’ new cancer drug, but where’s the data?",1,2
story_reviews_00008,"Researcher: Alzheimer's vaccine could cut dementia in half, human trials may be next",USA Today provides rosy speculation about an Alzheimer’s vaccine not yet tested in humans,3,6
story_reviews_00009,"Experimental treatment helps 2 out of 3 peanut allergy sufferers, study finds",CNN delivers a balanced report on peanut allergy treatment,5,9
story_reviews_00010,"Potential life-saving peanut allergy drug on horizon, scientists say",Fox spreads ‘breakthrough’ claim but no real reporting on peanut allergy treatment,2,4
story_reviews_00011,There’s a Better Flu Shot,Bloomberg uncritically touts ‘greater effectiveness’ of cell-based flu vaccine,3,6
story_reviews_00012,Reuters: Merck drug Keytruda succeeds in late-stage esophageal cancer trial,Reuters rehashes Merck announcement on Keytruda trial for esophageal cancer,1,2
story_reviews_00013,"Five-minute neck scan can spot dementia 10 years earlier, say scientists",CNN overstates evidence linking neck pulse measurements to increased dementia risk,2,4
story_reviews_00014,"Artificial intelligence can predict Alzheimer’s 6 years earlier than medics, study finds",Fox News regurgitates a hot mess from the UK Sun,2,2
story_reviews_00015,High hopes & hype for experimental depression drug ketamine,"Thoughtful and thorough, AP story looks at growing trend of using ketamine for depression",5,8
story_reviews_00016,FDA approves new flu pill that can be taken after onset of symptoms,ABC News story perpetuates misinformation that new drug will prevent spread of flu,2,4
story_reviews_00017,F.D.A. Approves New Drug for Flu,New York Times warns readers that new flu drug ‘is no miracle cure’,4,8
story_reviews_00018,Novartis drug cut death risk by 35 percent in gene mutation breast cancer,Litany of errors hampers Reuters story on experimental breast cancer drug,2,3
story_reviews_00019,3-Drug Therapy Might Be Cystic Fibrosis 'Breakthrough',HealthDay speculates that experimental cystic fibrosis drug combo could be ‘breakthrough’ and ‘game-changing’,3,5
story_reviews_00020,New Nerve Stimulation Technique Might Relieve Back Pain,"HealthDay touts nerve device as ‘more effective,’ but data is from unpublished study with no control group",3,6
story_reviews_00021,Depression often goes undiagnosed. Researchers are turning to Facebook to change that.,Inquirer’s look at using Facebook to screen for depression emphasizes research ‘is still in very early stages’,4,7
story_reviews_00022,J&J's Stelara succeeds in chronic bowel disease study,Reuters once again rehashes drug company news release,2,4
story_reviews_00023,Migraine patients can now try three new drugs for prevention,"Doctor’s $620,000 conflict of interest not disclosed in Inquirer story on new migraine drugs",3,6
story_reviews_00025,Doctors Use Bacteria as Weapon Against Cancer,"Are bacteria useful as cancer ‘weapons,’ or far too early to know? Key context missing from HealthDay story",2,4
story_reviews_00026,VITAMIN D: SUPPLEMENT LINKED TO WEIGHT LOSS IN OVERWEIGHT AND OBESE CHILDREN,Newsweek overlooks key limitation of study on vitamin D and childhood obesity,2,2
story_reviews_00027,"Antidepressants, psychotherapy may help ease irritable bowel syndrome","Antidepressants and therapy may ease IBS, but Reuters Health story is unclear on extent of benefit",3,5
story_reviews_00028,"Amarin fish oil capsule shows dramatic benefit for cardiovascular patients, potentially upending market",STAT’s cheerleading coverage of prescription fish oil capsule lacks crucial context,3,5
story_reviews_00029,Tiny Device Is a ‘Huge Advance’ for Treatment of Severe Heart Failure,"NY Times hails MitraClip a ‘huge advance’ for heart failure, but independent sources might have said otherwise",3,6
story_reviews_00030,GLIOBLASTOMA: ZIKA VIRUS COULD DESTROY BRAIN CANCER THAT KILLED JOHN MCCAIN,Newsweek story on Zika vaccine to zap brain cancer is fascinating–but needed more caution about mouse research,4,6
story_reviews_00031,Here’s how one woman used an implant to get some relief from chronic back pain,One woman’s account of spinal cord stimulator skips realities of medical device safety in U.S.,2,4
story_reviews_00032,Study: Medical Marijuana Relieves Range of Symptoms With No Serious Side Effects,U.S. News churns out puff piece on medical marijuana app research,2,3
story_reviews_00033,"Merck KGaA, Pfizer's immuno-drug shown to alleviate kidney cancer",Reuters story on kidney cancer drug makes us ask: How is this journalism?,1,1
story_reviews_00034,"Fish Oil Pills During Pregnancy Might Mean Stronger, Healthier Kids","Fish oil during pregnancy led to ‘stronger kids,’ but was the difference clinically meaningful?",4,6
story_reviews_00035,Weight-loss pills can help. So why don't more people use them?,"In story about ‘latest generation’ of weight loss drugs, NBC overlooks doctors’ pharma ties",2,3
story_reviews_00036,Cannabidiol Reduces Symptoms of Psychosis,U.S. News & World Report regurgitates news release on cannabidiol and psychosis,2,3
story_reviews_00037,The Scan That Saved My Life,WSJ reporter claims a carotid artery scan ‘saved’ his life — but there’s no way to know that,2,4
story_reviews_00038,The FDA Says This Brain-Stimulating Device May Help People With Obsessive-Compulsive Disorder,"Without an independent source, BuzzFeed’s story on a medical device for OCD doesn’t offer much beyond the news release",3,5
story_reviews_00039,"EXPERIMENTAL DRUG VISTUSERTIB COULD SHRINKS TUMORS IN 50% OF OVARIAN CANCER PATIENTS, STUDY SUGGESTS","Newsweek’s premature optimism about experimental ovarian cancer drug overlooks costs, harms and limitations of the evidence",2,3
story_reviews_00040,Breast Cancer Drug Promising in Phase 3 Trial,"Talazoparib touted as ‘promising,’ but is it any better than a similar breast cancer drug that’s already available?",3,5
story_reviews_00041,"Multigene test may find risk for heart disease, diabetes and breast cancer","Multigene test may find risk for common diseases, but there’s no evidence it will make anyone healthier",3,6
story_reviews_00042, FDA approves marketing for a contraception app for the 1st time,How solid is the evidence behind the FDA-cleared ‘contraceptive app?’ ABC News doesn’t say,3,5
story_reviews_00043,Hyperbaric oxygen: The mysterious therapy that saved a cancer survivor from radiation side effects,"When n=1, it’s easy to jump to conclusions about a therapy working",4,7
story_reviews_00044,Hepatitis-Infected Kidneys a Safe Option for Transplant: Study,HealthDay neglects the potential harms of transplanting hepatitis-infected kidneys,3,5
story_reviews_00045,KETAMINE SHOWS PROMISE AS TREATMENT FOR ADOLESCENTS WITH DEPRESSION,Newsweek prematurely reports ‘promise’ for ketamine as a treatment for depressed teens,3,6
story_reviews_00046,Could a blood test lead to new treatments for depression?,ABC News doesn’t oversell early research on blood test for depression,4,5
story_reviews_00047,Women with endometriosis experience terrible pain. There’s finally a new treatment.,‘But it comes with some big caveats:’ Vox is clear about drawbacks of new endometriosis drug,4,8
story_reviews_00048,Could Pot-Linked Drug Help Ease Agitation in Alzheimer's?,HealthDay provides needed details on side effects of THC-based drug studied for Alzheimer’s agitation,4,7
story_reviews_00049,"Experimental blood test could detect melanoma skin cancer early, study finds",It’s way too soon to know if melanoma blood test will save ‘thousands of lives’,4,7
story_reviews_00050,Worried About Dementia? You Might Want to Check Your Blood Pressure,"All anecdote, no data: NPR’s take on high blood pressure and dementia",3,4
story_reviews_00051,A Simple Emergency Room Intervention Can Help Cut Suicide Risk,A 50% reduction in suicide risk? NPR story overstates the benefits of ‘Safety Planning Intervention’,3,5
story_reviews_00052,Which antidepressant is right for you? This genetic test could help,"Genetic testing to guide antidepressant choices: Big news coverage, but limited evidence",3,6
story_reviews_00053,Drugmakers Call Experimental Alzheimer’s Drug Study Positive,WSJ offers caution early and often in coverage of latest experimental Alzheimer’s drug,5,9
story_reviews_00054,"Maintaining healthy vision may help keep brain in shape, too",A possible link between eyesight and cognitive function? Reuters Health summary is a little out of focus,3,5
story_reviews_00055,A flu drug — shown to reduce the duration of symptoms — could upend treatment in U.S.,"STAT suggests flu drug could ‘upend treatment,’ but there’s plenty to question about this claim",4,7
story_reviews_00056,Doctors Try Genetically Modified Poliovirus As Experimental Brain Cancer Treatment,"NPR deftly summarizes results of early study using polio vaccine for brain cancer, except industry conflicts of interest",4,6
story_reviews_00057,Modified polio vaccine helps fight deadly brain tumors,Atypical patient anecdote throws off well-reported NBC News story on experimental brain cancer treatment,4,6
story_reviews_00058,"First marijuana-derived drug approved, will target severe epilepsy","FDA approves new marijuana-derived drug, but was the evidence solid? Washington Post doesn’t say",3,5
story_reviews_00059,Controversial researcher’s diabetes vaccine causes improvement in small study,Small ‘diabetes vaccine’ study: STAT provides lots of useful numbers for readers,4,7
story_reviews_00060,One Blood Test Might Be Enough to Diagnose Diabetes,One blood test to diagnose diabetes? HealthDay doesn’t address harms of overdiagnosis and overtreatment,3,5
story_reviews_00061,16:8 FASTING DIET LINKED TO WEIGHT LOSS AND HEALTH BENEFITS IN STUDY,"Newsweek’s story on the 16:8 diet: It’s not much more than a news release rewrite, but it’s at least cautious",3,5
story_reviews_00062,NEW PROSTATE CANCER DNA SPIT TEST DEVELOPED BY SCIENTISTS,Here’s one detail that should be included in almost all stories about cancer screening studies,3,5
story_reviews_00063,This Blood Test Could Help Predict If A Pregnancy Is At Risk For Premature Labor,BuzzFeed warns readers ‘a lot more work to be done’ to find out if experimental blood test can predict preterm birth,4,7
story_reviews_00064, Automatic texting helps ease stress of chemotherapy in breast cancer patients,"In story on texting program for chemo patients, Reuters Health keeps most study details on the DL",2,3
story_reviews_00065,From Chaos To Calm: A Life Changed By Ketamine,NPR (yet again) writes uncritically about ketamine for mental illness,1,1
story_reviews_00066,'Holy grail of cancer research': doctors positive about early detection blood test,Numerous problems plague Guardian’s coverage of ‘holy grail of cancer research’,2,2
story_reviews_00067,"Deep brain stimulation may offer treatment for type 2 diabetes, study suggests",LA Times provides careful take on early brain/diabetes research–except for the headline,4,7
story_reviews_00068,Newly Identified Form of Vertigo Responds to Treatment,HealthDay rehashes a news release claiming researchers have found new type of vertigo,1,1
story_reviews_00069,Study Finds More Isn't Better for Roche Breast Cancer Drug,A study that may help reduce overtreatment of breast cancer gets solid write-up by Bloomberg,4,8
story_reviews_00070,FDA approves new drug that prevents migraines without side effects,Drug’s ability to lower frequency of migraines by 50 percent sounds pretty good–until you read the fine print,3,6
story_reviews_00071, Laughing gas makes a comeback for women in labor - like Kate Middleton,Inquirer delivers well-rounded report on using laughing gas for labor pain–except for two things,4,8
story_reviews_00072,FDA expands use of Novartis MS drug to pediatric patients,Reuters story on MS drug for kids even less informative than the FDA news release,2,3
story_reviews_00073,"NEW CURE FOR BALDNESS COULD BE FOUND IN EXISTING DRUG, SCIENTISTS SAY",Newsweek stokes false hope with ‘cure for baldness’ based on preliminary evidence,3,4
story_reviews_00074,Which Anti-Depressant is Right for You? Your DNA Can Shed Some Light,Gene test for depression treatment: Realistic patient story helps keep WSJ article grounded,4,7
story_reviews_00075,Earlier Mammograms May Mean Less Need for Aggressive Treatments,Independent viewpoint helps round out HealthDay story on impact of earlier mammograms,4,7
story_reviews_00076,Ecstasy as PTSD Relief for Soldiers: ‘I Was Able to Forgive Myself’,"Thank you, New York Times, for asking ‘Who is behind these studies? Where does the money come from?’",4,8
story_reviews_00077,Partial rather than full knee replacements better for many – report,"Another rehashed news release from the Guardian, this time about partial vs. full knee replacement surgery",2,3
story_reviews_00078,A Better Clot-Buster Drug for Strokes?,"In comparison of clot-busting drugs, HealthDay gets props for being clear on costs and harms",4,7
story_reviews_00079,Prostate cancer breakthrough as UK team develops more accurate test,"Guardian spoon-feeds university news release to readers, claiming prostate cancer ‘breakthrough’",1,2
story_reviews_00080,Amgen's Aimovig halved migraine days in 30 percent of trial patients,Reuters numbs with numbers on experimental migraine drug,2,4
story_reviews_00081,Overcoming Fear of Back Pain May Spur Recovery,Can ‘thinking differently’ help sooth chronic back pain? Hard to tell from HealthDay’s fuzzy reporting,3,5
story_reviews_00082,"For advanced lung cancer, immune therapy plus chemo prolongs survival","Immunotherapy prolongs survival, but at what cost? Washington Post needed more on treatment downsides",3,5
story_reviews_00083,New Studies Show Immune Treatments Could Be Key in the Fight Against Lung Cancer,"Without any independent sources providing insight, readers of TIME’s coverage on lung cancer immunotherapy mostly left in the dark",2,3
story_reviews_00084,New way of defining Alzheimer's aims to find disease sooner,Diagnosing Alzheimer’s using biomarkers–AP makes it clear that there is no benefit to patients,4,7
story_reviews_00085,Why You Should Get the New Shingles Vaccine,"By downplaying risks, NY Times column gives lopsided take on new shingles vaccine",3,5
story_reviews_00086,"Marijuana legalization could help offset opioid epidemic, studies find",CNN leaves out key limitation of study on legalizing marijuana and opioid use,3,5
story_reviews_00087,"Boomers are going bionic, and they want joint replacements to let them do it all",Boston Globe overlooks evidence showing many patients not helped by ‘bionic’ joint replacements,3,5
story_reviews_00088,Prostate-Cancer Gene Test Helps Patients Decide on Treatment,Prostate cancer gene test: WSJ skirts around lack of long-term data,3,6
story_reviews_00089,Selfie medicine: Phone apps push people to take their pills,AP story on ‘selfie medicine’ adherence programs overlooked evidence showing they don’t work well,3,6
