word,log_odds_ratio
abc,0.54192
abdomen,-0.70598
abdominal,-0.10114
abilities,0.20935
ability,0.01482
able,0.03991
abnormal,-0.14365
abnormalities,-0.24288
absence,0.16986
absolutely,-0.31231
absorbed,0.11151
abuse,-0.87296
academic,0.19183
academy,-0.19449
accept,-0.13436
accepted,-0.15374
access,-0.13504
accessible,-0.11198
accompanied,-0.59095
accompanying,-1.10409
according,-0.05384
account,-0.19292
accuracy,0.11236
accurate,-0.03625
accurately,-0.06617
aches,-0.33075
achieve,-0.34496
achieved,-0.04493
acid,-0.21153
acids,-0.59364
acknowledged,-0.76885
acknowledges,-0.24288
across,-0.32128
act,-0.30904
acting,-0.1924
action,-0.35756
activated,-0.0033
active,-0.05213
activities,-0.10671
activity,0.10923
acts,0.11172
actual,0.06048
actually,-0.17037
acupuncture,-0.15374
acute,0.05343
ad,0.03899
add,-0.06679
added,-0.27519
addiction,-0.67427
addictive,-0.289
adding,-0.29035
addition,-0.13011
additional,-0.31901
address,-0.31395
adds,-0.50534
adjust,-0.06587
adjusted,0.16986
adjusting,-0.54484
administer,-0.43657
administered,-0.40688
administration,-0.19708
admitted,-0.289
adolescent,0.49466
adolescents,0.11172
adult,-0.75828
adults,-0.22671
advance,-0.00755
advanced,-0.03529
advances,0.15784
advantage,-0.20957
advantages,-0.67085
adverse,-0.39814
advertisement,-0.15027
advice,0.03899
advise,-0.01436
advised,-0.08705
advises,-0.70598
advisory,-0.49528
advocate,-0.59095
affairs,-0.571
affect,-0.10248
affected,0.0542
affecting,-0.37014
affects,-0.08637
affiliated,-0.02787
affordable,-0.1924
afghanistan,-0.06617
africa,-0.15493
african,-0.11281
afterward,-0.289
age,-0.1214
aged,-0.24225
agency,-0.17781
agents,-0.12125
ages,-0.06033
aggressive,-0.40141
aging,-0.0417
ago,-0.06431
agree,-0.49925
agreed,-0.17515
agreement,-0.19137
agrees,-0.15374
ahead,-0.0033
aid,-0.82393
aids,-0.06602
ailments,-0.59095
aim,-0.10114
aimed,-0.5495
aims,-0.06602
air,-0.10213
alan,-0.70598
albania,-0.10114
albeit,0.04399
alberta,-0.19137
alcohol,-0.04779
algeria,-0.10114
algorithm,0.335
alive,-0.19292
allergens,-0.01436
allergic,-0.43657
allergies,0.14075
allergy,-0.06617
alleviate,0.11172
allow,-0.02583
allowed,-0.08473
allowing,0.18445
allows,-0.01464
almost,-0.1697
alone,-0.3264
along,-0.36169
alongside,-0.67085
already,-0.25811
also,-0.10256
alter,-0.73852
altered,-0.40402
altering,-0.54484
alternative,0.15515
alternatives,-0.46689
although,-0.3466
altogether,-0.40402
always,0.03789
alzheimer,0.08065
amazing,-0.01445
america,0.02714
american,-0.24674
americans,-0.18592
among,-0.27649
amount,-0.25677
amounts,-0.13021
amplifications,-0.54484
amy,-0.43657
amyloid,-0.15374
analyses,0.23717
analysis,-0.10132
analyst,-0.33075
analysts,-0.0033
analyze,-0.3689
analyzed,-0.20665
analyzes,-0.01436
analyzing,-0.1924
ancient,-0.19137
anderson,-0.31231
andorra,-0.10114
andrew,-0.45874
anesthesia,0.03182
anesthetic,0.23717
angeles,-0.46402
angola,-0.10114
anguilla,-0.10114
animal,-0.24569
animals,-0.37265
annals,-0.4398
announced,-0.02812
annual,0.05499
annually,-0.22701
another,-0.31125
answer,-0.08988
answers,-0.39399
anti,-0.01756
antibiotic,-0.01436
antibiotics,-0.06617
antibodies,0.21796
antibody,-0.06602
antidepressant,-0.1924
antidepressants,-0.02229
antigen,-0.33075
antigua,-0.10114
antilles,-0.10114
antioxidant,-0.43657
antioxidants,-0.15374
anxiety,0.06981
anxious,0.01388
anymore,0.04399
anyone,-0.13436
anything,-0.4624
anyway,-0.73852
anywhere,-0.24428
ap,-0.67085
apart,-0.15493
app,0.33752
appear,-0.1113
appeared,-0.37392
appears,-0.35539
appetite,-0.02787
application,-0.33075
applications,-0.06587
applied,-0.04779
apply,0.05343
applying,0.11151
appointment,-0.54484
approach,-0.1638
approaches,0.07448
appropriate,-0.27355
approval,0.05887
approve,0.01388
approved,-0.10762
approximately,-0.15493
